===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-07-04 21:22:54
count workspace : d:\important\Gear-Of-Fate
total files : 85
total code lines : 8563
total comment lines : 26
total blank lines : 2221

.gitignore, code is 4, comment is 0, blank is 1.
conf.lua, code is 12, comment is 0, blank is 1.
Fate.ico, it is a binary file.
Gear-Of-Fate.love, it is a binary file.
GOF.code-workspace, code is 8, comment is 0, blank is 0.
LICENSE, code is 16, comment is 0, blank is 4.
main.lua, code is 53, comment is 0, blank is 15.
README.md, code is 2, comment is 0, blank is 1.
Src\AniPack.lua, code is 381, comment is 0, blank is 106.
Src\Base\Actor.lua, code is 30, comment is 0, blank is 11.
Src\Core\Class.lua, code is 49, comment is 0, blank is 11.
Src\Core\Collider.lua, code is 39, comment is 0, blank is 10.
Src\Core\FileSystem.lua, code is 15, comment is 0, blank is 1.
Src\Core\KeyBoard.lua, code is 39, comment is 0, blank is 9.
Src\Core\Rect.lua, code is 122, comment is 0, blank is 36.
Src\Core\Sprite.lua, code is 143, comment is 0, blank is 45.
Src\Core\System.lua, code is 32, comment is 0, blank is 4.
Src\Core\Template.lua, code is 19, comment is 0, blank is 5.
Src\Core\TextHandle.lua, code is 49, comment is 0, blank is 4.
Src\Depot\Extend.lua, code is 208, comment is 19, blank is 15.
Src\FSM\FSM.lua, code is 98, comment is 0, blank is 29.
Src\FSM\FSM_Hero.lua, code is 37, comment is 0, blank is 5.
Src\FSM\FSMAIControl.lua, code is 190, comment is 0, blank is 45.
Src\FSM\States\Hero_SwordMan\State_Ashenfork.lua, code is 90, comment is 0, blank is 18.
Src\FSM\States\Hero_SwordMan\State_AtkBase.lua, code is 81, comment is 0, blank is 24.
Src\FSM\States\Hero_SwordMan\State_Attack.lua, code is 84, comment is 0, blank is 25.
Src\FSM\States\Hero_SwordMan\State_Dash.lua, code is 66, comment is 0, blank is 15.
Src\FSM\States\Hero_SwordMan\State_DashAttack.lua, code is 61, comment is 0, blank is 13.
Src\FSM\States\Hero_SwordMan\State_Frenzy.lua, code is 52, comment is 0, blank is 23.
Src\FSM\States\Hero_SwordMan\State_FrenzyAttack.lua, code is 140, comment is 0, blank is 48.
Src\FSM\States\Hero_SwordMan\State_GoreCross.lua, code is 93, comment is 0, blank is 21.
Src\FSM\States\Hero_SwordMan\State_HopSmash.lua, code is 169, comment is 0, blank is 53.
Src\FSM\States\Hero_SwordMan\State_Jump.lua, code is 185, comment is 3, blank is 56.
Src\FSM\States\Hero_SwordMan\State_MoonSlash.lua, code is 64, comment is 0, blank is 17.
Src\FSM\States\Hero_SwordMan\State_Move.lua, code is 94, comment is 0, blank is 20.
Src\FSM\States\Hero_SwordMan\State_Rest.lua, code is 63, comment is 0, blank is 14.
